ways,sets,ipc,hit rate,duration
2,2,0.291582,0.921392,5135265000
2,4,0.31173,0.942057,4803365000
2,8,0.340072,0.963651,4403047000
2,16,0.378722,0.987171,3953698000
3,2,0.303039,0.93344,4941120000
3,4,0.332401,0.958464,4504650000
3,8,0.372867,0.983932,4015781000
3,16,0.393759,0.994989,3802708000
4,2,0.313107,0.943013,4782237000
4,4,0.347652,0.968781,4307049000
4,8,0.385115,0.990561,3888065000
4,16,0.396453,0.996344,3776871000
5,2,0.324439,0.952519,4615209000
5,4,0.360763,0.976907,4150512000
5,8,0.391131,0.993651,3828266000
5,16,0.397268,0.996769,3769127000
6,2,0.332465,0.958484,4503786000
6,4,0.373421,0.984245,4009828000
6,8,0.395544,0.995876,3785556000
6,16,0.397799,0.997083,3764095000
7,2,0.340485,0.964023,4397702000
7,4,0.379826,0.987774,3942207000
7,8,0.396252,0.996229,3778791000
7,16,0.398456,0.997412,3757881000
8,2,0.347242,0.968457,4312123000
8,4,0.38067,0.988231,3933470000
8,8,0.396502,0.996353,3776402000
8,16,0.399262,0.997807,3750299000
